Facility Name,Facility Id,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?,Column,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Total reported emissions from Onshore Oil & Gas Production,State where Emissions Occur,Total reported direct emissions from Local Distribution Companies,Total reported direct emissions from Electrical Equipment Use,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply,Quantity of CO2 Received for Injection,Column2,D,Direct Emitter
Linn Energy - West Main Compressor Station,1003354,Ulysses,KS,67880,"7822 W, Highway 160",Grant,37.524599,-101.252379,211111,C,Petroleum and Natural Gas Systems,28320.744,28291.7,13.25,15.794,,,,,,,,,,28320.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Litchfield-Hillsboro Landfill,1002091,Litchfield,IL,62056,2782 LANDFILL TRL,Montgomery,39.174704,-89.623277,562212,"C,HH",Waste,14809.3,15.8,14793.5,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,14793.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Little Gypsy,1001605,Laplace,LA,70079,17440 RIVER RD,Saint Charles,30.0033,-90.4611,221112,"C,D",Power Plants,1077088.208,1075994.4,499,594.808,,,,,,,,,,2013.092,1075075.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Little Rapids - Shawano Paper Mill,1002871,Shawano,WI,54166,W7575 Poplar Road,Shawano,44.77561,-88.62285,322121,C,Pulp and Paper,29492.336,29461.1,14.25,16.986,,,,,,,,,,29492.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Little Red River Compressor Station,1007986,Judsonia,AR,72010,494 Highway 258,White,35.349398,-91.629687,211111,C,Petroleum and Natural Gas Systems,12536.404,12523.8,5.75,6.854,,,,,,,,,,12536.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Livingston Generating Station,1007295,Gaylord,MI,49753,155 NORTH TOWNLINE ROAD,Otsego,45.0291,-84.7332,221112,"C,D",Power Plants,5818.58,5813.1,2.5,2.98,,,,,,,,,,98.9,5719.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Livingston Landfill,1005300,Spotsylvania,VA,22551,6241 Massey Road,Spotsylvania,38.12947,-77.70718,562212,"C,HH",Waste,52589.65,15.9,52573.75,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,52573.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lockport,1001265,Lockport,NY,14094,5087 JUNCTION ROAD,Niagara,43.1622,-78.7453,221112,"C,D",Power Plants,134780.212,134646.5,61,72.712,,,,,,,,,,15.3,134764.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Loess Hills Regional Sanitary Landfill,1003990,Malvern,IA,51551,59722 290th St.,Mills,41.021656,-95.636714,562212,"C,HH",Waste,75296.65,10.9,75285.75,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,75285.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Logan Generating Plant,1001201,Swedesboro,NJ,8085,76 ROUTE 130,Gloucester,39.7914,-75.4081,221112,C,Power Plants,708684.686,703525.8,1886.25,3272.636,,,,,,,,,,708684.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
Logansport Expansion Gathering Facility,1010234,Logansport,LA,71050,,De Soto,32.159947,-94.018881,211111,"C,W-PROC",Petroleum and Natural Gas Systems,57481.992,55888.7,1569.75,23.542,,,,,,,,,,10244.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Logansport Mine,1010131,Ford City,PA,16226,1000 Logansport Road,Armstrong,40.700806,-79.492886,212112,FF,Other,49270,,49270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49270,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Logansport Municipal Utilities Electric Generating Plant,1007752,Logansport,IN,46947,,Cass,40.7586,-86.3607,221112,C,Power Plants,202590.51,201077.7,553.25,959.56,,,,,,,,,,202590.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Loma Linda University,1001886,Loma Linda,CA,92354,11100 Anderson Street,San Bernardino,34.05228,-117.26256,611310,C,Other,60043.776,59982.4,28,33.376,,,,,,,,,,60043.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lon D Wright Power Plant,1000722,Fremont,NE,68025,2701 EAST 1ST ST,Dodge,41.4275,-96.4619,221112,"C,D",Power Plants,523607.538,519585.1,1472.75,2549.688,,,,,,,,,,160979.964,362627.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
Lone Cactus Landfill,1007543,Phoenix,AZ,85024,21402 N 7th St.,Maricopa,33.681984,-112.06564,562212,HH,Waste,87864,,87864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87864,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"Lone Mountain Processing, Inc.",1010242,St. Charles,VA,24282,2778 Monarch Road,Lee,36.834941,-83.03123,212112,"C,FF",Other,134076.1,0.1,134076,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,134076,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"Lone Star Industries, Inc. /dba/ BUZZI UNICEM USA",1006110,Maryneal,TX,79535,202 County Road 306,Nolan,32.25,-100.458333,327310,"C,H",Minerals,288849.35,288273.8,210.5,365.05,,,,,,,,,,66897.25,,,,,221952.1,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lone Star Power Plant,1000935,Lone Star,TX,75668,HWY 259 SOUTH,Morris,32.9217,-94.7158,221112,D,Power Plants,4233.384,4229,2,2.384,,,,,,,,,,,4233.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lonesome Creek Station,1011323,Alexander,ND,58831,2648 140th Ave NW,Mckenzie,47.79674,-103.577316,221112,D,Power Plants,171585.764,171411.5,79.5,94.764,,,,,,,,,,,171585.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
Lonestar Processing Facility,1011614,Tuleta,TX,78162,2189 FM 1465,Bee,28.563871,-97.849062,211112,"C,W-PROC",Petroleum and Natural Gas Systems,180166.63,177522.3,2581.75,62.58,,,,,,,,,,104362.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach Generating Station,1000490,Long Beach,CA,90802,2665 SEASIDE BOULEVARD,Los Angeles,33.7641,-118.2248,221112,D,Power Plants,18399.932,18381.3,8.5,10.132,,,,,,,,,,,18399.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Long Island Jewish Medical Center,1012086,New Hyde Park,NY,11040,270-05 76 Avenue,,,,622110,C,Other,32108.788,32067.9,16.75,24.138,,,,,,,,,,32108.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Longview Gas Plant,1006087,Longview,TX,75604,3407 Camp Switch Road,Gregg,32.503611,-94.868056,211112,"C,NN-FRAC,W-PROC","Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",88107.352,84633.2,3429.75,44.402,,,,,,,,,,62693.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Longview Power,1000782,Maidsville,WV,26541,1375 Fort Martin Road,Monongalia,39.7078,-79.9588,221112,"C,D",Power Plants,2708550.236,2688256,7426,12868.236,,,,,,,,,,2462.04,2706088.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
Lordsburg Generating Station,1000162,Lordsburg,NM,88045,2 POWER PLANT ROAD,Hidalgo,32.3494,-108.6975,221112,D,Power Plants,12885.952,12872.8,6,7.152,,,,,,,,,,,12885.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles International Airport (LAX),1001984,Los Angeles,CA,90045,275 Center Way,Los Angeles,33.943608,-118.404692,488119,C,Other,14604.444,14589.1,7,8.344,,,,,,,,,,14604.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Los Esteros Critical Energy Fac,1000175,San Jose,CA,95134,800 THOMAS FOON CHEW WAY,Santa Clara,37.425,-121.9319,221112,D,Power Plants,159290.408,159128.2,74,88.208,,,,,,,,,,,159290.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
Los Gatos Tomato Products,1010003,Huron,CA,93234,19800 Gale Ave,,,,311421,C,Other,67376.296,67306.7,31.75,37.846,,,,,,,,,,67376.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"Los Medanos Energy Center, LLC",1001366,Pittsburg,CA,94565,750 EAST THIRD ST,Contra Costa,38.03,-121.8708,221112,"C,D",Power Plants,1150738.34,1149653.3,495,590.04,,,,,,,,,,67797.544,1082940.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
Los Reales Landfill,1002799,Tucson,AZ,85756,5300 E Los Reales Road,Pima,32.11916,-110.87903,562212,HH,Waste,44092.5,,44092.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44092.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lost Pines 1,1001340,Bastrop,TX,78602,256 POWER PLANT ROAD,Bastrop,30.1478,-97.27,221112,D,Power Plants,1098451.58,1097336.4,508.75,606.43,,,,,,,,,,,1098451.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Louisa,1001060,Muscatine,IA,52761,8602 172 ST,Louisa,41.3153,-91.0936,221112,"C,D",Power Plants,3814264.396,3784448.7,10907,18908.696,,,,,,,,,,4211.484,3810052.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
Louisa Generation Facility,1007183,Gordonsville,VA,22942,3352 Klockner Road,Louisa,38.1181,-78.2139,221112,"C,D",Power Plants,249186.278,248894.6,124.5,167.178,,,,,,,,,,90.5,249095.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana 1,1001209,Baton Rouge,LA,70821,GULF STATES ROAD,East Baton Rouge,30.4903,-91.1875,221112,"C,D",Power Plants,1948185.832,1946208.1,902.25,1075.482,,,,,,,,,,613.4,1947572.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana Sugar Refining, LLC",1010825,Gramercy,LA,70052,1230 S Fifth Ave POB 625,St. James Parish,30.04931,-90.68384,311312,C,Other,108688.438,108575.8,51.25,61.388,,,,,,,,,,108688.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"Lower Mount Bethel Energy, LLC",1000146,Bangor,PA,18013,6079 DU PUES FERRY ROAD,Northampton,40.8011,-75.105,221112,D,Power Plants,1703081.14,1701352.2,788.75,940.19,,,,,,,,,,,1703081.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lower War Eagle Deep Mine,1010656,Man,WV,25635,PO Box 446,Logan,37.71064,-81.898908,212112,FF,Other,132762,,132762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132762,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lowry Mine,1010111,Indiana,PA,15701,2389 South Sixth Street,Indiana,40.667163,-79.132274,212112,FF,Other,53572.5,,53572.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53572.5,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lucedale (SESH) Compressor Station,1005332,Lucedale,MS,39452,,George,30.972222,-88.699167,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,46919.334,44130.6,2764,24.734,,,,,,,,,,44172.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"Lucius Spar, Keathley Canyon 875 Platform",1011917,Offshore,LA,0,,,26.1322,-92.04034,211111,"C,W-OFFSH",Petroleum and Natural Gas Systems,155955.312,147114.5,8596.75,244.062,,,,,,,,,,112952.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Luke Paper Company,1001237,Luke,MD,21540,300 PRATT STREET,Allegany,39.4722,-79.0575,322110,"AA,C",Pulp and Paper,689410.686,683089.2,2244.25,4077.236,,,,,,,,,591383.1,646229.384,,,,,,,,,,,,,,,,,,,,,43181.302,,,,,,,,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,
Luman Compressor Station,1004635,Boulder,WY,82941,,Sublette,42.392528,-109.751722,211111,C,Petroleum and Natural Gas Systems,54383.648,54328.3,25.25,30.098,,,,,,,,,,54383.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lumileds LLC,1011905,San Jose,CA,95131,370 West Trimble Road,Santa Clara,37.383465,-121.933101,334413,I,Other,222.1902,,,46.786,0.6072,174.797,,,,,,,,,,,,,,222.1902,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Luna Energy Facility,1000795,Deming,NM,88030,1895 ARROWHEAD DR NW,Luna,32.2983,-107.78,221112,"C,D",Power Plants,723276.62,722542.3,335,399.32,,,,,,,,,,1191.496,722085.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Luz Solar Partners III - VII,1003617,Boron,CA,93516,41100 Highway 395,Kern,35.007353,-117.666952,221119,C,Power Plants,32960.48,32927.6,15,17.88,,,,,,,,,,32960.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lycoming County Landfill Gas to Energy,1011029,Montgomery,PA,17752,447 Alexander Drive,Lycoming,41.152783,-76.919105,221119,C,Power Plants,130.04,0.4,38.75,90.89,,,,,,,,,25173,130.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
Lycoming County Resource Management Services,1004218,Montgomery,PA,17752,447 Alexander Drive,Lycoming,41.152783,-76.919105,562212,"C,HH",Waste,58953.846,,58953.25,0.596,,,,,,,,,264.1,0.846,,,,,,,,,,,,,,,,,,,,,,,,,,,58953,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
M P ERWIN PRODUCTION FACILITY - A & B,1007608,Hackberry,LA,70645,561 N Main,Cameron,29.98647,-93.39462,211111,C,Petroleum and Natural Gas Systems,12403.404,12390.8,5.75,6.854,,,,,,,,,,12403.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
M&G POLYMERS USA LLC,1000793,Apple Grove,WV,25502,27610 Huntington Road,Mason,38.664483,-82.169733,325211,C,Other,44952.18,44905.6,21.25,25.33,,,,,,,,,,44952.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MABELVALE,1000574,Mabelvale,AR,72103,12303 VYME RIDGE ROAD,Saline,34.634167,-92.411111,221112,C,Power Plants,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MADISON COUNTY LANDFILL,1003029,Canastota,NY,13032,6663 BUYEA ROAD,Madison,43.0349,-75.703,562212,"C,HH",Waste,19384.3,62.8,19321.5,,,,,,,,,,,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,19321.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MADISON PAPER INDUSTRIES,1007623,Madison,ME,4950,1 MAIN STREET,Somerset,44.797372,-69.885772,322121,C,Pulp and Paper,49173.862,49122.6,23.25,28.012,,,,,,,,,,49173.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MAGNESITA REFRACTORIES/YORK,1002115,York,PA,17408,425 S SALEM CHURCH RD,York,39.9352,-76.823625,327125,"C,S",Minerals,376150.344,374596.3,569.75,984.294,,,,,,,,,,219305.344,,,,,,,,,,,,,,156845,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MAHONING LANDFILL,1007756,New Springfield,OH,44443,3510 GARFIELD ROAD,Mahoning,40.917967,-80.582612,562212,"C,HH",Waste,63028.462,,62955.75,72.712,,,,,,,,,20143.6,103.712,,,,,,,,,,,,,,,,,,,,,,,,,,,62924.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MAINLINE CMP STN,1006918,Bryceland,LA,71008,"HWY 9, W 2.7 MI S OF BRYCELAND",,,,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,28308.456,11940.9,16361,6.556,,,,,,,,,,11934.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MALLARD LAKE LANDFILL,1007633,Hanover Park,IL,60133,26 W 580 SCHICK RD,Dupage,41.952205,-88.13999,562212,"C,HH",Waste,14601.7,44.7,14557,,,,,,,,,,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,14557,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MALLINCKRODT INC./ COVIDIEN,1005077,St. Louis,MO,63147,3600 NORTH SECOND STREET,Saint Louis City,38.65972,-90.19248,325412,C,Chemicals,32645.926,32612.2,15.25,18.476,,,,,,,,,,32645.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MALOY SOLID WASTE LANDFILL,1002643,Campbell,TX,75422,2811 FM 1568,Hunt,33.177689,-95.880534,562212,"C,HH",Waste,131671.05,4.8,131666.25,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,131666.25,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MANCHESTER LANDFILL,1004184,Manchester,CT,6040,1 LANDFILL WAY,Hartford,41.7738,-72.5647,562212,"C,HH",Waste,69899.948,527.4,69372.25,0.298,,,,,,,,,,527.948,,,,,,,,,,,,,,,,,,,,,,,,,,,69372,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MANISTEE COUNTY LANDFILL,1007028,Manistee,MI,49660,3890 CAMP ROAD,Manistee,44.191356,-86.264558,562212,"C,HH",Waste,7751.75,71,7680.75,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,7680.75,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MAPLEWOOD RECYCLING AND WASTE DISPOSAL,1007610,Jetersville,VA,23083,20221 MAPLEWOOD ROAD,Amelia,37.312186,-78.06143,562212,"C,HH",Waste,146652.298,521,146131,0.298,,,,,,,,,,521.298,,,,,,,,,,,,,,,,,,,,,,,,,,,146131,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARATHON COUNTY LANDFILL,1002307,Ringle,WI,54471,R18500 E. Hwy 29,Marathon,44.890439,-89.384867,562212,"C,HH",Waste,56163.8,28.3,56135.5,,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,56135.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARATHON PETROLEUM COMPANY LP CANTON REFINERY,1005390,Canton,OH,44706,2408 GAMBRINUS RD. S.W.,Stark,40.7729,-81.4151,324110,"C,MM-REF,Y","Petroleum Product Suppliers,Refineries",559775.684,556018,2086.5,1671.184,,,,,,,,,,347874.354,,,,,,,,,,,,,,,,,,,211901.33,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"MARCAL MANUFACTURING, LLC.",1004098,Elmwood Park,NJ,7407,1 MARKET ST,Bergen,40.90232,-74.13179,322291,C,Pulp and Paper,59933.46,59859.5,30.75,43.21,,,,,,,,,,59933.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARION COUNTY BASELINE LANDFILL SOLID WASTE TRANSFER STATION,1006881,Ocala,FL,34480,5601 SOUTHEAST 66TH STREET,Marion,29.120833,-82.05804,562212,HH,Waste,107456.25,,107456.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107456.25,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARKHAM GAS PROCESSING PLANT,1002256,Markham,TX,77456,4367 COUNTY ROAD 403,Matagorda,29.017544,-96.060292,211112,"C,W-PROC",Petroleum and Natural Gas Systems,144643.032,142880.6,1685.25,77.182,,,,,,,,,,136093.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARLA COMPRESSOR STATION,1006309,Kersey,CO,80644,,Weld,40.2767,-104.5475,486210,C,Petroleum and Natural Gas Systems,29245.805,29215.64,13.775,16.39,,,,,,,,,,29245.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARQUEZ PLANT,1003077,Franklin,TX,77856,14610 COLE BRANCH ROAD,Robertson,31.227319,-96.369935,211112,"C,W-PROC",Petroleum and Natural Gas Systems,4643.532,4638.6,2.25,2.682,,,,,,,,,,4643.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARQUIS ENERGY LLC,1005374,Hennepin,IL,61327,11953 Prairie Industrial Parkway,Putnam,41.27533,-89.33123,325193,"C,II","Other,Waste",203368.532,202747.1,507,114.432,,,,,,,,,132.1,202957.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.25,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL MUNICIPAL UTILITIES,1002126,Marshall,MO,65340,765 W NORTH STREET,Saline,39.1221,-93.2066,221112,C,Power Plants,5852.014,5808.3,16,27.714,,,,,,,,,,5852.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARTIN COUNTY SOLID WASTE TRANSFER AND RECYCLING FACILITY,1005942,Palm City,FL,34990,9101 S.W. BUSCH STREET,Martin,27.176616,-80.371846,562212,HH,Waste,7173.25,,7173.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7173.25,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"MARTIN MARIETTA MAGNESIA SPECIALTIES, LLC",1004097,Woodville,OH,43469,755 LIME ROAD,Sandusky,41.462857,-83.36746,327410,"C,S",Minerals,1371606.224,1368446,1159.75,2000.474,,,,,,,,,,551708.224,,,,,,,,,,,,,,819898,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
"MARTIN MARIETTA MAGNESIA SPECIALTIES, LLC",1005855,Manistee,MI,49660,1800 EAST LAKE ROAD,Manistee,44.22646,-86.28905,327992,C,Minerals,88333.668,88242.7,41.5,49.468,,,,,,,,,,88333.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARTIN OPERATING PTNR LP,1007661,Smackover,AR,71762,484 EAST 6TH STREET,Union,33.364143,-92.716924,324110,"C,MM-REF,P,Y","Chemicals,Petroleum Product Suppliers,Refineries",62703.972,62361.2,316.25,26.522,,,,,,,,,,46544.676,,,,,,,,,,,15638.7,,,,,,,,520.596,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARTINEZ COGEN LIMITED PARTNER,1003980,Martinez,CA,94553,550 Solano Way,Contra Costa,38.0207,-122.06786,221112,C,Power Plants,401600.988,401186.7,189,225.288,,,,,,,,,,401600.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARTONE LANDFILL & GAS GENERATING FACILITY,1003587,Barre,MA,1005,99 BARRE DEPOT RD,Worcester,42.38749,-72.07935,562212,"C,HH",Waste,8693.092,1010.9,7681,1.192,,,,,,,,,,1012.592,,,,,,,,,,,,,,,,,,,,,,,,,,,7680.5,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
MARYSVILLE ETHANOL LLC,1001809,Marysville,MI,48040,2510 BUSHA HIGWAY,St. Clair,42.88335,-82.491547,325193,"C,II","Other,Waste",81257.692,81133.8,78,45.892,,,,,,,,,177.9,81217.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.75,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
