Facility Name,Facility Id,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Sectors_Industry_Type,Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions,Nitrous Oxide (N2O) emissions,HFC emissions,PFC emissions,SF6 emissions,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring?,Column,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Total reported emissions from Onshore Oil & Gas Production,State where Emissions Occur,Total reported direct emissions from Local Distribution Companies,Total reported direct emissions from Electrical Equipment Use,GHG Quantity Associated with Coal-based liquid fuel production,GHG Quantity Associated with Petroleum Products Produced,GHG Quantity Associated with Petroleum Products Imported,GHG Quantity Associated with Petroleum Products Exported,GHG Quantity Associated with Natural Gas Supply,GHG Quantity Associated with Natural Gas Liquids Supply,GHG Quantity Associated with CO2 Supply,Quantity of CO2 Received for Injection,Column2,D,Direct Emitter
HOMELAND ENERGY SOLUTIONS LLC,1006141,Lawler,IA,52154,2779 IA HWY 24,Chickasaw,43.0668,-92.1579,325193,"C,II","Other,Waste",203966.182,203750.5,101.25,114.432,,,,,,,,,,203960.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HONDA MANUFACTURING OF ALABAMA LLC,1005341,Lincoln,AL,35096,1800 HONDA DRIVE,Talladega,33.61557,-86.15117,336112,C,Other,55860.136,55802,26.25,31.886,,,,,,,,,,55860.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HONDA OF AMERICA MFG INC *,1001842,Anna,OH,45302,12500 MERANDA RD.,Shelby,40.372778,-84.190139,336312,C,Other,38839.87,38735.3,40.5,64.07,,,,,,,,,,38839.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HONEYWELL - UOP LLC,1000628,Chickasaw,AL,36611,1 LINDE DRIVE,Mobile,30.759387,-88.060027,325188,C,Chemicals,40139.048,40097.4,19,22.648,,,,,,,,,,40139.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HONEYWELL INTERNATIONAL INC,1000631,Metropolis,IL,62960,2768 US HIGHWAY 45 NORTH,Massac,37.171208,-88.75731,325188,C,Chemicals,16339.688,16322.7,7.75,9.238,,,,,,,,,,16339.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HONEYWELL INTERNATIONAL INC - BATON ROUGE PLANT,1000625,Baton Rouge,LA,70805,2966 LUPINE AVENUE,East Baton Rouge,30.474444,-91.183056,325120,"C,L,OO","Chemicals,Industrial Gas Suppliers",165190.254,17575.1,8.25,9.834,147506.4,,,,,,90.67,,,17593.184,,,,,,,,147597.07,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HONEYWELL INTERNATIONAL INC - GEISMAR COMPLEX,1006070,Geismar,LA,70734,5525 HWY 3115,Iberville,30.22847,-91.05435,325120,"C,L,O,OO","Chemicals,Industrial Gas Suppliers",668801.128,101360.1,47.75,56.918,567326.5,,,,,,9.86,,,101464.768,,,,,,,,566381.76,,954.6,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HONEYWELL INTERNATIONAL INCORPORATED - HOPEWELL,1000630,Hopewell,VA,23860,905 EAST RANDOLPH ROAD,Hopewell,37.3016,-77.2719,325199,"C,G,PP","Chemicals,Suppliers of CO2",974277.288,973824.7,197.5,255.088,,,,,,,,,34938,359039.388,,,,615237.9,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,
HOPKINS CO REGIONAL LANDFILL - BITUMINOU,1003283,White Plains,KY,42464,380 GRAYS BRANCH RD,Hopkins,37.1569,-87.3809,562212,HH,Waste,145998,,145998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145998,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
HORMEL FOODS CORPORATION,1006347,Austin,MN,55912,500 14TH AVENUE NORTH EAST,Mower,43.67978,-92.96976,311612,C,Other,54102.084,54043.9,26,32.184,,,,,,,,,,54102.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,
